function,status,notes
..stacktraceoff..,not implemented,Not exported by WinShiny.
..stacktraceon..,not implemented,Not exported by WinShiny.
a,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
absolutePanel,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
actionButton,native,Implemented with a native PowerShell/WPF backend and a Shiny-like call signature.
actionLink,native,Implemented with a native PowerShell/WPF backend and a Shiny-like call signature.
addResourcePath,not implemented,Not exported by WinShiny.
animationOptions,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
appendTab,not implemented,Not exported by WinShiny.
as.shiny.appobj,native,Implemented with a native PowerShell/WPF backend and a Shiny-like call signature.
basicPage,native,Implemented with a native PowerShell/WPF backend and a Shiny-like call signature.
bindCache,not implemented,Not exported by WinShiny.
bindEvent,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
bookmarkButton,not implemented,Not exported by WinShiny.
bootstrapLib,not implemented,Not exported by WinShiny.
bootstrapPage,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
br,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
browserViewer,not implemented,Not exported by WinShiny.
brushedPoints,not implemented,Not exported by WinShiny.
brushOpts,partial,Returns a descriptor; plot brushing is not yet implemented.
busyIndicatorOptions,not implemented,Not exported by WinShiny.
callModule,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
captureStackTraces,not implemented,Not exported by WinShiny.
checkboxGroupInput,native,Implemented with a native PowerShell/WPF backend and a Shiny-like call signature.
checkboxInput,native,Implemented with a native PowerShell/WPF backend and a Shiny-like call signature.
clickOpts,partial,Returns a descriptor; plot click events are not yet implemented.
code,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
column,native,Implemented with a native PowerShell/WPF backend and a Shiny-like call signature.
conditionalPanel,partial,Supports a documented subset of simple input comparisons.
conditionStackTrace,not implemented,Not exported by WinShiny.
conditionStackTrace<-,not implemented,Not exported by WinShiny.
createRenderFunction,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
createWebDependency,not implemented,Not exported by WinShiny.
dataTableOutput,partial,Mapped to a native WPF DataGrid rather than the JavaScript DT/DataTables widget.
dateInput,native,Implemented with a native PowerShell/WPF backend and a Shiny-like call signature.
dateRangeInput,native,Implemented with a native PowerShell/WPF backend and a Shiny-like call signature.
dblclickOpts,partial,Returns a descriptor; plot double-click events are not yet implemented.
debounce,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
devmode,not implemented,Not exported by WinShiny.
dialogViewer,not implemented,Not exported by WinShiny.
diskCache,not implemented,Not exported by WinShiny.
div,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
downloadButton,native,Implemented with a native PowerShell/WPF backend and a Shiny-like call signature.
downloadHandler,native,Uses Windows SaveFileDialog and writes directly to the selected local path.
downloadLink,native,Implemented with a native PowerShell/WPF backend and a Shiny-like call signature.
em,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
enableBookmarking,not implemented,Not exported by WinShiny.
eventReactive,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
exportTestValues,not implemented,Not exported by WinShiny.
exprToFunction,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
ExtendedTask,not implemented,Not exported by WinShiny.
fileInput,partial,Uses Windows OpenFileDialog; values are local paths rather than Shiny upload metadata.
fillCol,native,Implemented with a native PowerShell/WPF backend and a Shiny-like call signature.
fillPage,native,Implemented with a native PowerShell/WPF backend and a Shiny-like call signature.
fillRow,native,Implemented with a native PowerShell/WPF backend and a Shiny-like call signature.
fixedPage,native,Implemented with a native PowerShell/WPF backend and a Shiny-like call signature.
fixedPanel,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
fixedRow,native,Implemented with a native PowerShell/WPF backend and a Shiny-like call signature.
flowLayout,native,Implemented with a native PowerShell/WPF backend and a Shiny-like call signature.
fluidPage,native,Implemented with a native PowerShell/WPF backend and a Shiny-like call signature.
fluidRow,native,Implemented with a native PowerShell/WPF backend and a Shiny-like call signature.
freezeReactiveVal,shim,Compatibility shim or metadata/no-op implementation; browser/server behavior is not reproduced.
freezeReactiveValue,shim,Compatibility shim or metadata/no-op implementation; browser/server behavior is not reproduced.
get_devmode_option,not implemented,Not exported by WinShiny.
getCurrentOutputInfo,shim,Compatibility shim or metadata/no-op implementation; browser/server behavior is not reproduced.
getCurrentTheme,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
getDefaultReactiveDomain,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
getQueryString,shim,Compatibility shim or metadata/no-op implementation; browser/server behavior is not reproduced.
getShinyOption,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
getUrlHash,shim,Compatibility shim or metadata/no-op implementation; browser/server behavior is not reproduced.
h1,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
h2,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
h3,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
h4,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
h5,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
h6,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
headerPanel,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
helpText,native,Implemented with a native PowerShell/WPF backend and a Shiny-like call signature.
hideTab,not implemented,Not exported by WinShiny.
hoverOpts,partial,Returns a descriptor; plot hover events are not yet implemented.
hr,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
HTML,partial,Creates native text/control descriptions rather than browser HTML.
htmlOutput,partial,Displays native text/control output; arbitrary browser HTML is not rendered.
htmlTemplate,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
httpResponse,not implemented,Not exported by WinShiny.
icon,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
imageOutput,native,Implemented with a native PowerShell/WPF backend and a Shiny-like call signature.
img,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
in_devmode,not implemented,Not exported by WinShiny.
includeCSS,shim,Compatibility shim or metadata/no-op implementation; browser/server behavior is not reproduced.
includeHTML,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
includeMarkdown,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
includeScript,shim,Compatibility shim or metadata/no-op implementation; browser/server behavior is not reproduced.
includeText,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
incProgress,not implemented,Not exported by WinShiny.
inputPanel,native,Implemented with a native PowerShell/WPF backend and a Shiny-like call signature.
insertTab,not implemented,Not exported by WinShiny.
insertUI,not implemented,Not exported by WinShiny.
installExprFunction,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
invalidateLater,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
is.key_missing,not implemented,Not exported by WinShiny.
is.reactive,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
is.reactivevalues,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
is.shiny.appobj,native,Implemented with a native PowerShell/WPF backend and a Shiny-like call signature.
is.singleton,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
isolate,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
isRunning,native,Implemented with a native PowerShell/WPF backend and a Shiny-like call signature.
isTruthy,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
key_missing,not implemented,Not exported by WinShiny.
loadSupport,not implemented,Not exported by WinShiny.
localOtelCollect,not implemented,Not exported by WinShiny.
mainPanel,native,Implemented with a native PowerShell/WPF backend and a Shiny-like call signature.
makeReactiveBinding,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
markdown,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
markRenderFunction,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
maskReactiveContext,not implemented,Not exported by WinShiny.
memoryCache,not implemented,Not exported by WinShiny.
MockShinySession,not implemented,Not exported by WinShiny.
modalButton,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
modalDialog,native,Implemented with a native PowerShell/WPF backend and a Shiny-like call signature.
moduleServer,partial,Exported with useful compatibility behavior and documented native-backend limitations; see README.
navbarMenu,native,Implemented with a native PowerShell/WPF backend and a Shiny-like call signature.
navbarPage,native,Implemented with a native PowerShell/WPF backend and a Shiny-like call signature.
